site_id,region,commune,latitude,longitude,environment,site_type,ownership_type,commissioned_date,backup_power_hours,site_status
SIT-0001,Región Metropolitana de Santiago,Santiago,-33.4569,-70.6593,Urbano denso,Azotea,Propio,2017-05-18,5.1,Activo
SIT-0002,Región Metropolitana de Santiago,Puente Alto,-33.6117,-70.5758,Urbano,Torre,Propio,2017-10-02,4.5,Activo
SIT-0003,Valparaíso,Valparaíso,-33.0392,-71.6227,Costero,Torre,Propio,2018-02-16,6.2,Activo
SIT-0004,Valparaíso,Viña del Mar,-32.9993,-71.57,Costero,Torre,Compartido,2018-07-03,3.3,Activo
SIT-0005,Biobío,Concepción,-36.8361,-73.0244,Urbano,Torre,Propio,2018-11-17,5.4,Activo
SIT-0006,Biobío,Talcahuano,-36.7329,-73.1068,Costero,Torre,Propio,2019-04-03,4.6,Activo
SIT-0007,La Araucanía,Temuco,-38.7359,-72.5904,Urbano,Interior,Propio,2019-08-18,7.0,Activo
SIT-0008,Antofagasta,Antofagasta,-23.6429,-70.4075,Minero,Torre,Compartido,2020-01-02,6.3,Activo
SIT-0009,Antofagasta,Calama,-22.4384,-68.9494,Minero,Poste,Propio,2020-05-18,10.8,Activo
SIT-0010,Coquimbo,La Serena,-29.9187,-71.2319,Costero,Torre,Propio,2020-10-02,6.0,Activo
SIT-0011,Maule,Talca,-35.4344,-71.6454,Periurbano,Torre,Propio,2021-02-16,8.2,Activo
SIT-0012,Los Lagos,Puerto Montt,-41.4693,-72.9424,Costero,Torre,Compartido,2021-07-03,5.4,Activo
SIT-0013,Región Metropolitana de Santiago,Santiago,-33.4409,-70.6793,Urbano denso,Azotea,Propio,2021-11-17,3.9,Activo
SIT-0014,Región Metropolitana de Santiago,Puente Alto,-33.5957,-70.5958,Urbano,Interior,Propio,2022-04-03,6.2,Activo
SIT-0015,Valparaíso,Valparaíso,-33.0632,-71.5927,Costero,Torre,Propio,2022-08-18,5.7,Activo
SIT-0016,Valparaíso,Viña del Mar,-33.0233,-71.54,Costero,Torre,Compartido,2023-01-02,5.6,Activo
SIT-0017,Biobío,Concepción,-36.8201,-73.0444,Urbano,Torre,Propio,2023-05-19,2.1,Mantenimiento
SIT-0018,Biobío,Talcahuano,-36.7169,-73.1268,Costero,Torre,Propio,2023-10-03,5.2,Activo
SIT-0019,La Araucanía,Temuco,-38.7199,-72.6104,Urbano,Torre,Propio,2024-02-17,2.4,Activo
SIT-0020,Antofagasta,Antofagasta,-23.6669,-70.3775,Minero,Torre,Compartido,2024-07-03,10.2,Activo
SIT-0021,Antofagasta,Calama,-22.4624,-68.9194,Minero,Interior,Propio,2024-11-17,8.4,Activo
SIT-0022,Coquimbo,La Serena,-29.9027,-71.2519,Costero,Torre,Propio,2025-04-03,5.7,Activo
SIT-0023,Maule,Talca,-35.4184,-71.6654,Periurbano,Torre,Propio,2025-08-18,8.7,Activo
SIT-0024,Los Lagos,Puerto Montt,-41.4533,-72.9624,Costero,Torre,Compartido,2026-01-02,6.5,Activo
